,City,Country,Long,Lat,date,type,value
0," Norfolk County, MA",US,-71.1449,42.1767,2020-01-22,confirmed,0
1," Norfolk County, MA",US,-71.1449,42.1767,2020-01-22,died,0
2," Norfolk County, MA",US,-71.1449,42.1767,2020-01-22,recovered,0
3," Norfolk County, MA",US,-71.1449,42.1767,2020-01-22,currently ill,0
4," Norfolk County, MA",US,-71.1449,42.1767,2020-01-23,confirmed,0
5," Norfolk County, MA",US,-71.1449,42.1767,2020-01-23,died,0
6," Norfolk County, MA",US,-71.1449,42.1767,2020-01-23,recovered,0
7," Norfolk County, MA",US,-71.1449,42.1767,2020-01-23,currently ill,0
8," Norfolk County, MA",US,-71.1449,42.1767,2020-01-24,confirmed,0
9," Norfolk County, MA",US,-71.1449,42.1767,2020-01-24,died,0
10," Norfolk County, MA",US,-71.1449,42.1767,2020-01-24,recovered,0
11," Norfolk County, MA",US,-71.1449,42.1767,2020-01-24,currently ill,0
12," Norfolk County, MA",US,-71.1449,42.1767,2020-01-25,confirmed,0
13," Norfolk County, MA",US,-71.1449,42.1767,2020-01-25,died,0
14," Norfolk County, MA",US,-71.1449,42.1767,2020-01-25,recovered,0
15," Norfolk County, MA",US,-71.1449,42.1767,2020-01-25,currently ill,0
16," Norfolk County, MA",US,-71.1449,42.1767,2020-01-26,confirmed,0
17," Norfolk County, MA",US,-71.1449,42.1767,2020-01-26,died,0
18," Norfolk County, MA",US,-71.1449,42.1767,2020-01-26,recovered,0
19," Norfolk County, MA",US,-71.1449,42.1767,2020-01-26,currently ill,0
20," Norfolk County, MA",US,-71.1449,42.1767,2020-01-27,confirmed,0
21," Norfolk County, MA",US,-71.1449,42.1767,2020-01-27,died,0
22," Norfolk County, MA",US,-71.1449,42.1767,2020-01-27,recovered,0
23," Norfolk County, MA",US,-71.1449,42.1767,2020-01-27,currently ill,0
24," Norfolk County, MA",US,-71.1449,42.1767,2020-01-28,confirmed,0
25," Norfolk County, MA",US,-71.1449,42.1767,2020-01-28,died,0
26," Norfolk County, MA",US,-71.1449,42.1767,2020-01-28,recovered,0
27," Norfolk County, MA",US,-71.1449,42.1767,2020-01-28,currently ill,0
28," Norfolk County, MA",US,-71.1449,42.1767,2020-01-29,confirmed,0
29," Norfolk County, MA",US,-71.1449,42.1767,2020-01-29,died,0
30," Norfolk County, MA",US,-71.1449,42.1767,2020-01-29,recovered,0
31," Norfolk County, MA",US,-71.1449,42.1767,2020-01-29,currently ill,0
32," Norfolk County, MA",US,-71.1449,42.1767,2020-01-30,confirmed,0
33," Norfolk County, MA",US,-71.1449,42.1767,2020-01-30,died,0
34," Norfolk County, MA",US,-71.1449,42.1767,2020-01-30,recovered,0
